project_name,organization,status,canonical_cell,coordination_risk_score,p_score,s_score,e_score,failure_pattern,governance_type,consortium_size_numeric,investment_usd_numeric
TBSx3,Mongolia Gov,Failed,Network/Scalability,5.4,0.6,3,3,Performance Failure,Government,1,3000000
Thailand Retail CBDC,Bank of Thailand,Pilot Expansion,System State/Execution Model,3.6,0.4,3,3,Pilot Success,Government,1,0
Trade Information Network,Multiple Singaporean Agencies,Merged/Abandoned,System State/Governance,17.2,0.86,5,4,Multi-Agency Failure,Government,Multiple,15000000
TradeLens,IBM/Maersk,Failed,System State/Governance,17.2,0.86,5,4,Competitor Refusal,Corporate,2,250000000
Tradelens (Hapag-Lloyd),Hapag-Lloyd,Shut down,System State/Economic Fitness,8.0,0.5,4,4,Parent Failure,Corporate,1,10000000
Tradelens India,India Ports,Failed,System State/Economic Fitness,8.0,0.5,4,4,Network Dependency,Government,1,10000000
Trust Your Supplier,IBM/Chainyard,Limited Success,System State/Economic Fitness,8.0,0.5,4,4,Limited Adoption,Corporate,1,15000000
Vakt,Oil Trading,Struggling,System State/Governance,17.2,0.86,5,4,Consortium Struggle,Consortium,9,60000000
Venezuela Petro,Venezuelan Gov,Failed,Law/Remedy,10.0,0.4,5,5,Sanctions/Fraud,Government,1,6000000000
Digital Trade Chain,Deutsche Bank/Others,Failed,System State/Governance,17.2,0.86,5,4,Consortium Evolution,Consortium,Multiple,8000000
Yojee,Yojee Limited,Struggling,System State/Execution Model,3.6,0.4,3,3,Integration Minimal,Corporate,1,20000000
