project_id,project_name,organization,segment,category,region,platform,permission_model,consensus_family,architecture_type,governance_type,consortium_size,has_native_token,launch_year,end_year,failure_year,investment_usd,value_at_risk_usd,status_original,status_clean,outcome,resolution,na,nc,ns,se,sm,sf,ls,lr,lp,network_domain,system_domain,law_domain,overall_score,failure_category,failure_reasons,scoring_method,evidence_summary,primary_data_sources
E007,Bank of England Digital Pound,Bank of England,enterprise,Retail CBDC,,TBD,TBD,TBD,TBD (design phase),,1,"yes (CBDC, planned)",,,,Undisclosed,undisclosed,Design Phase,Design Phase,not_failed,unresolved,2,3,2,3,3,2,2,2,3,2.33,2.67,2.33,2.44,,,systematic-with-review,Design phase CBDC. Architecture TBD — scores reflect design-phase uncertainty (na=2). Central bank retains full control (sm=3). Legal framework under development. No deployed system to evaluate.,Bank of England consultation papers; HM Treasury reports; Digital Pound Foundation publications
E008,Batavia,IBM/UBS/Others,enterprise,Trade Finance,Europe,,permissioned,BFT,private chain,,6-20,no,2017,2020,2020,15000000,15M,Failed,Failed,failed,resolved,3,4,3,4,4,4,2,2,3,3.33,4.0,2.33,3.22,Consortium Failure,Pilot never progressed; consortium disbanded,systematic-with-review,IBM/UBS trade finance pilot. Consortium of 5 banks never progressed beyond pilot (sf=4). IBM-dominated governance (sm=4). Disbanded after failing to attract additional participants. $15M invested.,IBM/UBS press releases; Trade Finance Global reporting
E009,Brazil DREX,Central Bank of Brazil,enterprise,Digital Real,,Hyperledger Besu→None,permissioned,PoA (Hyperledger Besu),"private chain (Hyperledger Besu, later abandoned)",,1,"yes (CBDC, planned)",,,2024,Undisclosed,undisclosed,Failed,Failed,failed,resolved,4,4,4,4,4,4,0,4,2,4.0,4.0,2.0,3.33,,,systematic-with-review,"Central Bank of Brazil digital currency project. Originally Hyperledger Besu, pivoted away from DLT entirely. Full central bank control (sm=4). Privacy concerns led to architectural redesign. Scores reflect the failed blockchain approach, not the ongoing non-blockchain project.",Banco Central do Brasil publications; CoinDesk Brasil; privacy audit reports
E011,BurstIQ,BurstIQ,enterprise,Healthcare,North America,,permissioned,custom,private chain (proprietary),,1,no,2015,Active,2023,25000000,25M,Failed,Failed,failed,resolved,3,3,3,3,4,4,3,3,3,3.0,3.67,3.0,3.22,Regulatory Challenges,HIPAA compliance complexity limiting adoption,systematic-with-review,Healthcare data platform. Proprietary architecture with single-entity control (sm=4). HIPAA compliance complexity limited adoption (sf=4). Technical platform was functional but centralised (na/nc=3). Regulatory uncertainty in health data (ls/lp=3).,BurstIQ press releases; Crunchbase; HIPAA compliance documentation
E012,Canton Network,Digital Asset + Banks,enterprise,Institutional finance,,DAML/Canton,permissioned,custom (DAML/Canton),private chain (DAML smart contracts),Hybrid,20+,no,,,,Undisclosed,undisclosed,Launch 2024,Launch 2024,not_failed,unresolved,3,3,3,3,4,3,3,3,2,3.0,3.33,2.67,3.0,,,systematic-with-review,Digital Asset's institutional finance network using DAML. Bank consortium governance (sm=4). Pre-launch — scores reflect architectural assessment and governance design. Proprietary DAML language creates vendor lock-in risk (se=3).,Digital Asset press releases; Canton Network documentation; Goldman Sachs/BNY Mellon announcements
E013,CargoX,CargoX,enterprise,Trade Documents,Global,,hybrid,PoS (Polygon),public chain (Polygon/Ethereum),,1,yes (CXO utility token),2018,Active,,10000000,10M,Limited Success,Distressed,failed,resolved,3,3,3,3,3,4,3,3,3,3.0,3.33,3.0,3.11,Niche Success,Success in Egypt but limited global adoption,systematic-with-review,Document transfer platform with success in Egypt's ACID system. Limited global adoption despite Egyptian mandate (sf=4). Company-controlled (sm=3). Niche regulatory success in specific market.,CargoX platform documentation; Egypt ACID system reports; Lloyd's List
D002,Celsius Network,Celsius Network,defi,CeFi Lending,Global,Custodial/Multi-chain,custodial (centralised),N/A (custodial platform),"custodial (centralised platform, not a blockchain)",Single entity,1,yes (CEL token),2022,,2022,,4.7B (frozen deposits),Collapsed,Failed,failed,resolved,3,4,1,3,4,4,3,3,1,2.67,3.67,2.33,2.89,Fraud/Centralisation,Ponzi-like yield; complete centralisation; commingled funds,expert-scored,"Centralised lending marketed as DeFi. Complete CEO control over deposits (sm=4). No real consensus — custodial model (nc=4). $4.7B frozen. Fraud charges against Alex Mashinsky (ls=3, lr=3).",Celsius bankruptcy filing (SDNY); Examiner's report; SEC/CFTC complaints; Mashinsky arrest affidavit
E014,Chained Finance,Dianrong/FnConn,enterprise,Supply Chain Finance,Asia,,permissioned,BFT,private chain,,2-5,no,2017,2020,2020,50000000,50M,Failed,Failed,failed,resolved,3,3,4,4,4,4,3,3,4,3.33,4.0,3.33,3.55,Market Failure,Failed to scale beyond Foxconn supply chain,systematic-with-review,Dianrong/Foxconn supply chain finance. Failed to scale beyond Foxconn's own supply chain (sf=4). Joint venture governance with dominant industrial partner (sm=4). $50M invested.,Dianrong/FnConn press releases; South China Morning Post; Foxconn supply chain reports
E010,China BSN,State Information Center,enterprise,Infrastructure,Asia,,permissioned (domestic) / hybrid (international),"multiple (FISCO BCOS, Fabric, etc.)",infrastructure platform (multi-chain),,6-20,no,2020,Active,,100000000,100M+,Limited International,Limited International,not_failed,unresolved,2,3,2,3,3,3,4,4,4,2.33,3.0,4.0,3.11,Geopolitical,International trust issues,systematic-with-review,State-backed Blockchain-based Service Network. Government-controlled infrastructure (sm=3). International version limited by geopolitical trust issues. Strong domestic architecture but sovereignty concerns limit global adoption (ls/lp=4).,BSN official publications; State Information Center announcements; Caixin reporting
E070,Citi Token Services,Citigroup,enterprise,Payments/Trade Finance,Global,Hyperledger Besu,permissioned,PoA (Hyperledger Besu),private chain (Hyperledger Besu),Single Entity,1,yes (deposit token),,,,,undisclosed,Launched,Launched,not_failed,resolved,2,3,2,3,4,2,1,1,1,2.33,3.0,1.0,2.11,,,expert-reviewed,Cross-border payment tokenization. Citigroup single-entity control (sm=4). Hyperledger Besu architecture. Global regulatory footprint. Low law domain risk given institutional banking framework.,Citigroup press releases; Singapore pilot documentation; MAS regulatory filings
E015,Cobalt,Cobalt DL,enterprise,FX Settlement,Europe,,permissioned,custom (DLT),private chain (proprietary),,6-20,no,2016,2023,2023,47000000,47M,Failed,Failed,failed,resolved,2,2,3,3,3,4,2,2,2,2.33,3.33,2.0,2.55,Market Failure,Could not compete with traditional FX settlement despite technical success,systematic-with-review,FX post-trade processing. Sound technical architecture for settlement matching (na/nc=2). Failed commercially — could not displace CLS and SWIFT (sf=4). Moderate centralisation (sm=3). Well-regulated FX market (ls/lr/lp=2).,Cobalt DL press releases; FX Markets reporting; Companies House (UK) filings
D010,Compound,Compound Labs,defi,Lending Protocol,Global,Ethereum,permissionless,PoS (Ethereum),public chain (smart contracts on Ethereum),COMP token governance,N/A,yes (COMP governance token),2020,,,,1.8B (current TVL),Declining,Declining,not_failed,resolved,2,1,2,2,2,3,1,2,1,1.67,2.33,1.33,1.78,,,expert-scored,Lending protocol with COMP token governance. TVL down 83% from peak but operational (sf=3). Governance attacked in Proposal 117 (sm=2). Protocol functional on Ethereum (na/nc=2/1).,On-chain data; Compound governance forum; DeFi Llama; Proposal 117 incident analysis; audit reports
E016,Contour,Former Voltron,enterprise,Trade Finance,Asia,,permissioned,BFT (Corda),private chain (R3 Corda),,6-20,no,2018,2024,2024,40000000,40M,Failed,Failed,failed,resolved,3,3,4,4,4,4,3,3,4,3.33,4.0,3.33,3.55,Adoption Failure,Limited to 11 banks; low transaction volumes,systematic-with-review,Former Voltron — trade finance letter of credit platform. Limited to 11 banks despite years of development (sf=4). Consortium governance (sm=4). Failed to digitise complex LC workflows. $40M invested before shutdown in 2024.,Contour press releases; GTR (Global Trade Review); bank consortium announcements
E017,Corda Settler,R3,enterprise,,,Corda,permissioned,notary-based (Corda),private chain (R3 Corda),,1,no,2018,2021,2021,"50,000,000",50M (R3 funding allocated),Discontinued,Failed,failed,resolved,3,3,3,4,3,3,3,3,4,3.0,3.33,3.33,3.22,Payment Settlement,Failed XRP integration; limited payment rail support,systematic-with-review,R3's payment settlement layer. Failed XRP integration undermined core value proposition (sf=3). R3-controlled (sm=3). Discontinued when cross-platform settlement proved impractical.,R3 press releases; CoinDesk; XRP integration announcements and post-mortems
E018,Deutsche Börse D7,Deutsche Börse Group,enterprise,Securities issuance,,Digital Asset/R3,permissioned,notary-based (Corda/Digital Asset),private chain (R3 Corda / Digital Asset),Centralized,1,no,,,,"20,000,000+",20M+,Production,Production,not_failed,resolved,1,1,1,2,3,1,1,1,1,1.0,2.0,1.0,1.33,,,systematic-with-review,Securities issuance platform in production. Centralised exchange control (sm=3) but operating within established securities regulation (ls/lr/lp=1). Low architectural risk — leverages existing exchange infrastructure (na/nc/ns=1). One of the lower-risk enterprise projects.,Deutsche Börse Group annual reports; BaFin regulatory filings; CSD documentation
E019,Diem/Libra,Meta/Facebook,enterprise,Digital Currency,Global,,permissioned (planned permissionless transition),BFT (LibraBFT/DiemBFT),private chain (custom Move VM),Consortium,20+,"yes (stablecoin, never launched)",2019,2022,2022,300000000,300M,Failed,Failed,failed,resolved,2,3,1,3,4,3,4,4,4,2.0,3.33,4.0,3.11,Regulatory Failure,Regulatory opposition,systematic-with-review,"Meta's global stablecoin. Regulatory opposition from multiple jurisdictions killed the project (ls=4, lr=4, lp=4). Scaled down repeatedly from global currency to US-only stablecoin. $300M invested. Consortium governance but Meta-dominated (sm=4).",Diem/Libra white papers; US Senate hearing transcripts; Silvergate Bank acquisition docs; WSJ/FT reporting
E066,Digital Trade Chain,Deutsche Bank/Others,enterprise,Trade Finance,Europe,,permissioned,BFT (Hyperledger Fabric → IBM),"private chain (Hyperledger Fabric, became We.Trade)",,6-20,no,2017,2022,2022,8000000,8M,Failed,Failed,failed,resolved,2,3,3,3,3,4,2,2,3,2.67,3.33,2.33,2.78,Consortium Failure,Became We.Trade then failed,systematic-with-review,"Multi-bank trade finance consortium, became We.Trade. Hyperledger functional (na=2). Competing bank consortium (sm=3). Never achieved volumes (sf=4). EU regulation (ls/lr=2). Consortium liability disputes (lp=3).",We.Trade press releases; Deutsche Bank/participating bank announcements; Irish insolvency filings
E020,Eastern Caribbean DCash,ECCB,enterprise,Regional CBDC,Caribbean,,permissioned,custom (Bitt),private chain (Bitt platform),,1,yes (CBDC),2021,Active,,Undisclosed,<10M (circulation),Failed,Failed,failed,resolved,4,4,4,3,3,3,3,3,3,4.0,3.0,3.0,3.33,Technical Issues,Technical outages; Low adoption,systematic-with-review,Regional CBDC serving 8 island nations. Extended technical outages destroyed user confidence (na=4). Central bank control (sm=3). Low adoption — most citizens returned to cash. Architecture not resilient enough for multi-island deployment.,ECCB annual reports; IMF Eastern Caribbean consultations; Caribbean media reporting
E022,Energy Web Chain,Energy Web Foundation,enterprise,Energy Trading,Global,,permissioned (PoA),PoA (Aura),"private chain (Ethereum fork, PoA)",DAO,6-20,yes (EWT),2019,2023,2023,50000000,50M,Failed,Failed,failed,resolved,2,2,3,3,3,4,3,3,3,2.33,3.33,3.0,2.89,Adoption Failure,No utility adoption,systematic-with-review,Energy trading on dedicated PoA chain. Technically functional architecture (na/nc=2). DAO governance but foundation-controlled (sm=3). Zero utility company adoption (sf=4). Complex energy regulation across jurisdictions (ls/lr/lp=3).,Energy Web Foundation reports; EWT token data; utility company adoption reports
E021,European Central Bank Digital Euro,ECB,enterprise,Retail CBDC,,TBD,TBD,TBD,TBD (investigation phase),,1,"yes (CBDC, planned)",,,,Undisclosed,undisclosed,Investigation Phase,Investigation Phase,not_failed,unresolved,2,3,2,3,3,2,2,2,3,2.33,2.67,2.33,2.44,,,systematic-with-review,Investigation/preparation phase CBDC. Full ECB control (sm=3). Legal framework under EU legislation. Architecture TBD. Scores reflect institutional design-phase assessment.,ECB Digital Euro reports; EU legislative proposals; EPC scheme rulebook
D003,FTX/Serum,FTX Trading,defi,Exchange/DeFi,Global,Solana (Serum),custodial (exchange) + permissionless (Serum),N/A (exchange) / PoH+PoS (Solana/Serum),custodial exchange + public chain DEX (Serum on Solana),Single entity,1,yes (FTT + SRM),2022,,2022,,8B+ (customer funds stolen),Collapsed,Failed,failed,resolved,3,4,1,4,4,4,3,2,0,2.67,4.0,1.67,2.78,Fraud,Deliberate fraud; backdoor access; no real decentralisation,expert-scored,"Exchange with DeFi facade. Serum DEX was FTX-controlled (sm=4). Execution manipulated via Alameda backdoor (se=4). $8B stolen. SBF convicted (ls=3). Bahamas incorporation limited remedy (lr=2, lp=0).",FTX bankruptcy filing (Delaware); DOJ indictment; SBF trial testimony; Alameda Research forensic analysis
E025,Federal Reserve Project Hamilton,Boston Fed/MIT,enterprise,CBDC research,,Custom C++,permissioned,custom (C++ transaction processor),private chain (custom high-performance),,2-5,no (research),,,,Undisclosed,undisclosed (research),Research Complete,Research Complete,not_failed,unresolved,2,3,2,2,3,2,2,2,2,2.33,2.33,2.0,2.22,,,systematic-with-review,Boston Fed/MIT CBDC research project. Custom C++ implementation achieved 1.7M TPS in testing. Research-only — no production deployment. Scores reflect technical assessment of prototype architecture.,Boston Fed/MIT DCI technical reports; Federal Reserve white papers
E026,Fnality,Bank Consortium,enterprise,Wholesale bank settlement,,Proprietary DLT,permissioned,BFT (proprietary),private chain (proprietary DLT),Consortium,20+,yes (USC utility settlement coin),,,,"100,000,000+",100M+,Delayed,Delayed,not_failed,unresolved,3,3,3,3,3,3,2,3,3,3.0,3.0,2.67,2.89,,,systematic-with-review,Bank consortium for wholesale settlement. £100M+ invested. Consortium governance with 15+ banks (sm=3). Delayed repeatedly — original 2020 launch target missed. Regulatory approval process ongoing. Architecture technically sound but untested at scale.,Fnality International press releases; bank consortium announcements; Bank of England regulatory engagement
E029,HSBC FX Everywhere,HSBC,enterprise,,,Proprietary DLT,permissioned,custom (proprietary),private chain (proprietary HSBC DLT),,1,no,2019,2021,2021,"10,000,000",10M,Quietly abandoned,Failed,failed,resolved,2,3,3,3,4,3,1,1,1,2.67,3.33,1.0,2.33,FX Settlement,Performance issues; high operational costs; limited use cases,systematic-with-review,Internal HSBC FX netting platform. Proprietary DLT adequate for internal use (na=2). Fully HSBC-controlled (sm=4). High operational costs vs marginal benefit (sf=3). Internal tool — minimal legal risk (ls/lr/lp=1).,HSBC annual reports; FX Markets reporting; internal technology review leaks
E028,Hong Kong e-HKD,Hong Kong Monetary Authority,enterprise,Retail CBDC pilot,,Multiple platforms,permissioned,multiple (pilot evaluating platforms),multiple (pilot phase),,1,"yes (CBDC, pilot)",,,,Undisclosed,undisclosed,Pilot Phase,Pilot Phase,not_failed,unresolved,2,3,2,3,3,2,2,2,2,2.33,2.67,2.0,2.33,,,systematic-with-review,HKMA retail CBDC pilot across multiple platforms. Central bank control (sm=3). Pilot phase — evaluating multiple technology approaches. Scores reflect early-stage assessment.,HKMA e-HKD publications; pilot programme reports
E030,India Digital Rupee,Reserve Bank of India,enterprise,Retail & Wholesale CBDC,,Unknown,permissioned,undisclosed,private chain (RBI-controlled),,1,yes (CBDC),,,,Undisclosed,undisclosed,Pilot Expansion,Pilot Expansion,not_failed,unresolved,2,3,2,3,3,2,2,2,2,2.33,2.67,2.0,2.33,,,systematic-with-review,RBI retail and wholesale CBDC pilot. Central bank control (sm=3). Expanding pilot across banks. Architecture unknown/not disclosed publicly. Low legal risk given RBI authority.,Reserve Bank of India publications; pilot bank announcements; Economic Times reporting
E031,Interbank Information Network,JPMorgan,enterprise,Payments,Global,,permissioned,BFT (Quorum),private chain (Quorum/JPMorgan),,20+ (400+ banks joined),no,2017,2022,,Undisclosed,undisclosed,Pivoted,Operational,not_failed,resolved,2,3,2,2,4,3,1,1,1,2.33,3.0,1.0,2.11,Strategic Pivot,Pivoted to Liink; limited to sanctions screening,systematic-with-review,"JPMorgan payment information network, pivoted to Liink. Quorum-based, functional (na=2). Entirely JPMorgan-controlled (sm=4). Narrow sanctions screening use case (sf=3). Internal compliance tool (ls/lr/lp=1).",JPMorgan press releases; Onyx documentation; Liink pivot announcements
D004,Iron Finance,Iron Finance,defi,Algorithmic Stablecoin,Global,Polygon,permissionless,PoS (Polygon),public chain (smart contracts on Polygon),Team-controlled,N/A,yes (IRON + TITAN),2021,,2021,,2B (peak TVL),Collapsed,Failed,failed,resolved,2,1,1,3,3,4,4,4,4,1.33,3.33,4.0,2.89,Economic Collapse,Algorithmic stablecoin bank run; whale exit trigger; no legal entity,expert-scored,"Partially-collateralised stablecoin. Bank run when large holder exited (sf=4). Team retained minting parameters (sm=3). No legal entity, no jurisdiction, no remedy (ls/lr/lp=4).",On-chain data (Polygonscan); Iron Finance post-mortem; Mark Cuban public statements; DeFi Llama
E033,JPMorgan Onyx/JPM Coin,JPMorgan,enterprise,Institutional settlement,,Quorum/Onyx,permissioned,BFT (Quorum/Onyx),private chain (Quorum → Onyx),Centralized,1,yes (JPM Coin deposit token),,,,"100,000,000+",100M+,Limited Production,Limited Production,not_failed,resolved,2,2,2,3,3,2,2,2,2,2.0,2.67,2.0,2.22,,,systematic-with-review,Institutional settlement platform using Quorum/Onyx. JPMorgan-controlled (sm=3). Limited production for large-value interbank transfers. Sound architecture leveraging JPMorgan infrastructure (na=2). Regulatory positioning as bank deposit token (ls/lr/lp=2).,JPMorgan Onyx documentation; SEC/OCC filings; Bloomberg/Reuters reporting
E032,Jamaica JAM-DEX,BoJ,enterprise,Retail CBDC,Caribbean,,permissioned,custom (eCurrency Mint),private chain (eCurrency platform),,1,yes (CBDC),2022,Active,,Undisclosed,<50M (circulation),Early Production,Early Production,not_failed,resolved,2,3,2,2,3,3,2,2,2,2.33,2.67,2.0,2.33,,Adoption challenges,systematic-with-review,Retail CBDC in early production since 2022. BoJ control (sm=3). Low adoption despite incentive programmes. Functional architecture for small economy. Cash culture resistant to digital adoption (sf=3).,Bank of Jamaica reports; IMF Jamaica Article IV; Caribbean media
E034,KomGo,Commodity Trade,enterprise,Commodity Trading,Global,,permissioned,PoA (Ethereum-based),private chain (Ethereum fork),,6-20,no,2018,2023,2023,15000000,15M,Failed,Failed,failed,resolved,2,3,3,3,3,4,2,2,2,2.67,3.33,2.0,2.67,Market Failure,No critical mass,systematic-with-review,"Commodity trade finance platform. Ethereum-based, technically sound (na=2). Consortium dominated by founding banks (sm=3). Never reached critical mass (sf=4). Standard trade finance regulation (ls/lr/lp=2).",KomGo press releases; commodity trading press; Swiss commercial registry
E035,Kompass,Korea Customs,enterprise,Trade,Asia,,permissioned,BFT (Hyperledger Fabric),private chain (Hyperledger Fabric),,1,no,2021,Active,,15000000,15M,Active,Active,not_failed,resolved,1,2,1,2,3,1,1,1,1,1.33,2.0,1.0,1.44,Government Success,Successful due to government mandate,systematic-with-review,Korean customs blockchain for trade documentation. Government-mandated system (sm=3). Active since 2021. Success driven by regulatory mandate rather than voluntary adoption. Low risk due to government backing and clear regulatory framework.,Korea Customs Service publications; Korean government digital trade reports
D009,MakerDAO/Sky,MakerDAO,defi,Stablecoin/Lending,Global,Ethereum,permissionless,PoS (Ethereum),public chain (smart contracts on Ethereum),MKR token governance,N/A,yes (MKR governance + DAI stablecoin),2019,,,,5.4B (TVL),Operational,Operational,not_failed,resolved,2,1,2,2,2,0,2,2,3,1.67,1.33,2.33,1.78,,,expert-scored,DAI stablecoin with overcollateralised vaults. MKR whale governance concentration (sm=2). Economic model proven through stress events (sf=0). Rebranded to Sky. Growing RWA exposure increases liability (lp=3).,On-chain data (Etherscan); MakerDAO governance forum; DeFi Llama; Sky rebrand documentation; RWA reports
E036,Marco Polo,TradeIX/R3,enterprise,Trade Finance,Global,,permissioned,BFT (Corda),private chain (R3 Corda/TradeIX),,20+,no,2017,2024,2023,30000000,30M,Failed,Failed,failed,resolved,3,3,4,4,4,4,3,3,4,3.33,4.0,3.33,3.55,Market Failure,Major banks exited; minimal transaction volumes,systematic-with-review,"TradeIX/R3 trade finance network. Major banks (BNY Mellon, ING) exited. Minimal transaction volumes despite $30M investment (sf=4). Consortium governance failed to align competing interests (sm=4). Went insolvent in 2023.",TradeIX/Marco Polo press releases; GTR (Global Trade Review); insolvency filings (Ireland)
E037,MediLedger,Pharma Consortium,enterprise,Pharma Supply,North America,,permissioned,PoA (custom),private chain (custom enterprise),,20+,no,2017,Active,,30000000,30M,Limited,Operational,not_failed,resolved,2,2,2,2,3,3,2,2,2,2.0,2.67,2.0,2.22,Regulatory Complex,Regulatory complexity,systematic-with-review,Pharma supply chain verification. Functional for DSCSA compliance (na/nc/ns=2). Industry consortium governance (sm=3). Limited beyond regulatory minimum (sf=3). FDA DSCSA provides clear framework (ls/lr/lp=2).,MediLedger Network documentation; FDA DSCSA implementation reports; pharma industry press
E038,Minehub,Minehub Technologies,enterprise,Mining Supply Chain,Global,,permissioned,BFT,private chain,,2-5,no,2018,Active,,8000000,8M,Active,Active,not_failed,resolved,2,2,2,2,3,2,2,2,2,2.0,2.33,2.0,2.11,Niche Success,Limited to mining industry,systematic-with-review,Mining supply chain platform. Niche success in mining commodity tracking (sf=2). Company-controlled (sm=3). Limited market but functional within that scope. $8M invested.,Minehub Technologies press releases; mining industry publications; TSX Venture filings
